Campaign,Click Date,January,Xmas,
XMAS,24/12/2012,0,2,
XMAS,25/12/2012,0,3,
XMAS,26/12/2012,0,1,
XMAS,27/12/2012,0,2,
XMAS,28/12/2012,0,4,
XMAS,29/12/2012,0,1,
JAN SALES,30/12/2012,2,0,
JAN SALES,31/12/2012,2,0,
JAN SALES,01/01/2013,3,0,
JAN SALES,02/01/2013,1,0,
JAN SALES,03/01/2013,3,0,
JAN SALES,04/01/2013,2,0,
JAN SALES,05/01/2013,2,0,
JAN SALES,06/01/2013,1,0,
JAN SALES,07/01/2013,2,0,
JAN SALES,08/01/2013,2,0,
JAN SALES,09/01/2013,3,0,
JAN SALES,10/01/2013,2,0,
JAN SALES,11/01/2013,4,0,
JAN SALES,12/01/2013,3,0,
JAN SALES,13/01/2013,2,0,
JAN SALES,14/01/2013,1,0,